Month-Year,Actual Corn Price,Predicted Corn Price
2004-01,419.18666669527687,418.9123397346946
2004-02,421.1261403435155,420.45750486378864
2004-03,471.1227007121065,471.2928371417026
2004-04,488.77325392526296,489.3068511563596
2004-05,486.47546212012026,488.09563102180414
2004-06,449.21702288853305,449.3397372565373
2004-07,402.6092063358852,404.4215811918672
2004-08,347.8067424225085,346.72667161009633
2004-09,341.23200003051755,342.0871486327828
2004-10,320.73071428329223,320.4583156822635
2004-11,324.9548413110158,324.44348388877626
2004-12,334.6638168014643,334.6034199652951
2005-01,320.5496666908264,320.8651770701165
2005-02,318.62070177312484,317.9139061206739
2005-03,346.8543181997357,347.15973566006176
2005-04,342.6782539609879,343.3207312205455
2005-05,347.01285714951774,346.90567123904253
2005-06,352.77939394748574,353.648685419342
2005-07,350.8949999809265,350.1083884601323
2005-08,339.9309420240098,341.05045783586235
2005-09,332.1273809311882,331.7075751106168
2005-10,345.2615872791835,344.92309377033143
2005-11,344.0307633494603,344.24777620235
2005-12,360.120158710177,359.60897857761114
2006-01,369.7178333441416,370.0361328299574
2006-02,379.8081578873752,379.91938744264826
2006-03,375.38021738632864,375.52900553835383
2006-04,379.283333343372,379.0508676628212
2006-05,399.24386364040953,399.1795293505701
2006-06,404.19863638733375,404.4255174302593
2006-07,415.4860000133514,416.15147883672114
2006-08,397.0425362517868,396.67644078647635
2006-09,399.7224167029063,399.81501998401893
2006-10,439.088484879696,438.83691497487786
2006-11,468.4018320564096,468.42990736670095
2006-12,471.2376666863759,471.4437228337268
2007-01,486.99450818046193,486.8542028562729
2007-02,492.2435087906687,492.33248835848536
2007-03,494.6106060779456,494.3785356649534
2007-04,482.1444166183472,482.45030308145834
2007-05,490.8312878464208,490.53004903203646
2007-06,522.3156349545434,522.4299172224587
2007-07,520.4982539585659,520.273228337645
2007-08,528.7052174167356,529.0024478890003
2007-09,595.1139474166067,594.9795673988723
2007-10,612.9235507854517,612.855638622772
2007-11,642.5859523652092,641.9601298506374
2007-12,699.1202500025431,698.2208884647988
2008-01,750.1512697916182,750.1246438833597
2008-02,842.8655832290649,840.1745119985846
2008-03,888.2115833918253,892.0959665336742
2008-04,914.1429545373628,910.8195320345841
